Country/Region,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Congo (Brazzaville),22-01-2020,357881,1628,232,357649,Africa
Congo (Kinshasa),22-01-2020,25984,1403,1144,24840,Africa
Costa Rica,22-01-2020,332868,1298,378,332490,Americas
Cote d'Ivoire,22-01-2020,208418,948,10,208408,Africa
Croatia,22-01-2020,25948,2428,954,24994,Europe
Cuba,22-01-2020,338183,2201,379,337804,Americas
Cyprus,22-01-2020,64975,1602,645,64330,Europe
Czechia,22-01-2020,408848,2044,1229,407619,Europe
Denmark,22-01-2020,248181,42,877,247304,Europe
Greenland,22-01-2020,327559,1423,310,327249,Europe
Denmark,22-01-2020,64985,1046,459,64526,Europe
Djibouti,22-01-2020,192659,584,455,192204,Eastern Mediterranean
Dominican Republic,22-01-2020,335554,1482,93,335461,Americas
Ecuador,22-01-2020,423240,584,841,422399,Americas
Egypt,22-01-2020,267514,938,572,266942,Eastern Mediterranean
El Salvador,22-01-2020,322539,1122,175,322364,Americas
Equatorial Guinea,22-01-2020,189953,250,342,189611,Africa
Eritrea,22-01-2020,419902,2426,1022,418880,Africa
Estonia,22-01-2020,201603,917,1119,200484,Europe
Eswatini,22-01-2020,37229,1459,610,36619,Africa
Ethiopia,22-01-2020,176286,2358,709,175577,Africa
Fiji,22-01-2020,433922,992,340,433582,Western Pacific
Finland,22-01-2020,98119,292,484,97635,Europe
France,22-01-2020,184878,55,594,184284,Europe
France,22-01-2020,62410,286,891,61519,Europe
France,22-01-2020,380700,869,1147,379553,Europe
France,22-01-2020,278924,2145,757,278167,Europe
France,22-01-2020,313770,123,269,313501,Europe
France,22-01-2020,176848,321,877,175971,Europe
France,22-01-2020,325233,1528,454,324779,Europe
France,22-01-2020,38863,2421,624,38239,Europe
France,22-01-2020,302317,1216,1034,301283,Europe
France,22-01-2020,97850,584,866,96984,Europe
Gabon,22-01-2020,299303,370,885,298418,Africa
Gambia,22-01-2020,163398,2368,1203,162195,Africa
Georgia,22-01-2020,199776,2294,543,199233,Europe
Germany,22-01-2020,161958,1373,547,161411,Europe
Ghana,22-01-2020,208680,1985,813,207867,Africa
Greece,22-01-2020,299666,2007,1062,298604,Europe
Guatemala,22-01-2020,249816,1219,540,249276,Americas
Guinea,22-01-2020,355437,1657,982,354455,Africa
Guyana,22-01-2020,6956,1335,477,6479,Americas
Haiti,22-01-2020,249071,1590,399,248672,Americas
Holy See,22-01-2020,145527,994,26,145501,Europe
Honduras,22-01-2020,440523,853,657,439866,Americas
Hungary,22-01-2020,223350,384,814,222536,Europe
Iceland,22-01-2020,333754,1037,323,333431,Europe
India,22-01-2020,428623,148,694,427929,South-East Asia
Indonesia,22-01-2020,22661,1102,1239,21422,South-East Asia
Iran,22-01-2020,293441,2194,670,292771,Eastern Mediterranean
Iraq,22-01-2020,318157,966,783,317374,Eastern Mediterranean
Ireland,22-01-2020,96504,1103,248,96256,Europe
Israel,22-01-2020,133270,2021,1142,132128,Europe
Italy,22-01-2020,82627,1782,364,82263,Europe
Jamaica,22-01-2020,136879,1002,236,136643,Americas
Japan,22-01-2020,417723,2298,668,417055,Western Pacific
Jordan,22-01-2020,429797,1486,1116,428681,Eastern Mediterranean
Kazakhstan,22-01-2020,389687,1099,1242,388445,Europe
Kenya,22-01-2020,224352,483,815,223537,Africa
South Korea,22-01-2020,141103,2395,45,141058,Western Pacific
Kuwait,22-01-2020,58193,1635,832,57361,Eastern Mediterranean
Kyrgyzstan,22-01-2020,372917,1262,1064,371853,Europe
Latvia,22-01-2020,171554,36,44,171510,Europe
Lebanon,22-01-2020,246667,376,749,245918,Eastern Mediterranean
Liberia,22-01-2020,301085,2012,543,300542,Africa
Liechtenstein,22-01-2020,107120,19,288,106832,Europe
Lithuania,22-01-2020,19864,1310,129,19735,Europe
Luxembourg,22-01-2020,443473,776,689,442784,Europe
Madagascar,22-01-2020,11421,1781,22,11399,Africa
Malaysia,22-01-2020,368581,254,293,368288,Western Pacific
Maldives,22-01-2020,73218,338,97,73121,South-East Asia
Malta,22-01-2020,431774,652,1218,430556,Europe
Mauritania,22-01-2020,415766,1892,719,415047,Africa
Mauritius,22-01-2020,387045,755,844,386201,Africa
Mexico,22-01-2020,304504,777,356,304148,Americas
Moldova,22-01-2020,438520,1136,395,438125,Europe
Monaco,22-01-2020,336363,2341,1131,335232,Europe
Mongolia,22-01-2020,40633,1898,366,40267,Western Pacific
Montenegro,22-01-2020,205189,1321,2,205187,Europe
Morocco,22-01-2020,111035,1125,1177,109858,Eastern Mediterranean
Namibia,22-01-2020,193721,1303,897,192824,Africa
Nepal,22-01-2020,44315,2416,221,44094,South-East Asia
Netherlands,22-01-2020,362856,2147,653,362203,Europe
Netherlands,22-01-2020,233913,820,431,233482,Europe
Netherlands,22-01-2020,212501,1091,827,211674,Europe
Netherlands,22-01-2020,378485,91,131,378354,Europe
New Zealand,22-01-2020,170346,510,1187,169159,Western Pacific
Nicaragua,22-01-2020,333822,123,658,333164,Americas
Niger,22-01-2020,13408,1375,874,12534,Africa
Nigeria,22-01-2020,49389,367,925,48464,Africa
North Macedonia,22-01-2020,357903,2167,1081,356822,Europe
Norway,22-01-2020,414418,962,1093,413325,Europe
Oman,22-01-2020,419122,1351,1230,417892,Eastern Mediterranean
Pakistan,22-01-2020,285117,2275,1099,284018,Eastern Mediterranean
Panama,22-01-2020,309601,716,880,308721,Americas
Papua New Guinea,22-01-2020,17397,1773,426,16971,Western Pacific
Paraguay,22-01-2020,341898,198,461,341437,Americas
Peru,22-01-2020,304660,1542,617,304043,Americas
Philippines,22-01-2020,225478,1383,813,224665,Western Pacific
Poland,22-01-2020,150300,298,336,149964,Europe
Portugal,22-01-2020,170893,38,685,170208,Europe
Qatar,22-01-2020,106562,833,44,106518,Eastern Mediterranean
Romania,22-01-2020,175433,1795,908,174525,Europe
Russia,22-01-2020,201381,283,943,200438,Europe
Rwanda,22-01-2020,291078,2357,600,290478,Africa
Saint Lucia,22-01-2020,54272,384,65,54207,Americas
Saint Vincent and the Grenadines,22-01-2020,4735,2361,52,4683,Americas
San Marino,22-01-2020,346186,954,447,345739,Europe
Saudi Arabia,22-01-2020,1166,587,689,477,Eastern Mediterranean
Senegal,22-01-2020,416604,1972,901,415703,Africa
Serbia,22-01-2020,159531,1985,406,159125,Europe
Seychelles,22-01-2020,128588,2029,283,128305,Africa
Singapore,22-01-2020,255126,2160,311,254815,Western Pacific
Slovakia,22-01-2020,182025,1316,770,181255,Europe
Slovenia,22-01-2020,372336,869,1134,371202,Europe
Somalia,22-01-2020,376862,368,411,376451,Eastern Mediterranean
South Africa,22-01-2020,320234,2339,1191,319043,Africa
Spain,22-01-2020,141084,2021,333,140751,Europe
Sri Lanka,22-01-2020,238855,367,1233,237622,South-East Asia
Sudan,22-01-2020,199031,949,197,198834,Eastern Mediterranean
Suriname,22-01-2020,179480,14,723,178757,Americas
Sweden,22-01-2020,77677,1597,600,77077,Europe
Switzerland,22-01-2020,208435,205,1075,207360,Europe
Taiwan*,22-01-2020,247279,612,722,246557,Western Pacific
Tanzania,22-01-2020,111664,1934,1213,110451,Africa
Thailand,22-01-2020,145332,1220,9,145323,South-East Asia
Togo,22-01-2020,426891,1534,1102,425789,Africa
Trinidad and Tobago,22-01-2020,248280,2236,588,247692,Americas
Tunisia,22-01-2020,363377,1880,1093,362284,Eastern Mediterranean
Turkey,22-01-2020,179134,444,441,178693,Europe
Uganda,22-01-2020,122687,2489,193,122494,Africa
Ukraine,22-01-2020,228855,1741,470,228385,Europe
United Arab Emirates,22-01-2020,79191,1893,498,78693,Eastern Mediterranean
United Kingdom,22-01-2020,39315,211,74,39241,Europe
United Kingdom,22-01-2020,24655,205,12,24643,Europe
United Kingdom,22-01-2020,70479,818,434,70045,Europe
United Kingdom,22-01-2020,409830,2478,106,409724,Europe
United Kingdom,22-01-2020,434186,1306,424,433762,Europe
United Kingdom,22-01-2020,173280,1254,363,172917,Europe
United Kingdom,22-01-2020,371936,1149,756,371180,Europe
Uruguay,22-01-2020,229365,1643,63,229302,Americas
US,22-01-2020,128831,2062,156,128675,Americas
Uzbekistan,22-01-2020,293556,1691,347,293209,Europe
Venezuela,22-01-2020,98341,1792,350,97991,Americas
Vietnam,22-01-2020,128836,2139,805,128031,Western Pacific
Zambia,22-01-2020,408743,1083,365,408378,Africa
Zimbabwe,22-01-2020,264360,122,1197,263163,Africa
Dominica,22-01-2020,131249,1676,793,130456,Americas
Grenada,22-01-2020,444147,1900,36,444111,Americas
Mozambique,22-01-2020,338085,1978,180,337905,Africa
Syria,22-01-2020,10749,200,31,10718,Eastern Mediterranean
Timor-Leste,22-01-2020,314223,2034,1108,313115,South-East Asia
Belize,22-01-2020,191619,120,255,191364,Americas
Laos,22-01-2020,327400,736,628,326772,Western Pacific
Libya,22-01-2020,331920,1115,98,331822,Eastern Mediterranean
West Bank and Gaza,22-01-2020,334252,1856,20,334232,Eastern Mediterranean
Guinea-Bissau,22-01-2020,425072,619,496,424576,Africa
Mali,22-01-2020,355445,1081,457,354988,Africa
Saint Kitts and Nevis,22-01-2020,10401,1505,230,10171,Americas
Canada,22-01-2020,266981,1789,248,266733,Americas
Canada,22-01-2020,244980,688,1106,243874,Americas
Kosovo,22-01-2020,17822,1984,237,17585,Europe
Burma,22-01-2020,368377,1807,870,367507,South-East Asia
United Kingdom,22-01-2020,29295,353,512,28783,Europe
United Kingdom,22-01-2020,299842,229,399,299443,Europe
United Kingdom,22-01-2020,234393,652,380,234013,Europe
Botswana,22-01-2020,440607,2083,779,439828,Africa
Burundi,22-01-2020,356077,816,1107,354970,Africa
Sierra Leone,22-01-2020,44120,2394,1045,43075,Africa
Malawi,22-01-2020,96929,1442,187,96742,Africa
United Kingdom,22-01-2020,186093,490,237,185856,Europe
France,22-01-2020,207470,2212,1173,206297,Europe
South Sudan,22-01-2020,395481,2267,67,395414,Africa
Western Sahara,22-01-2020,183683,2157,1005,182678,Africa
Sao Tome and Principe,22-01-2020,298329,649,875,297454,Africa
Yemen,22-01-2020,365002,1944,684,364318,Eastern Mediterranean
Comoros,22-01-2020,252930,672,1178,251752,Africa
Tajikistan,22-01-2020,334485,1885,1179,333306,Europe
Lesotho,22-01-2020,187431,2360,584,186847,Africa
Afghanistan,23-01-2020,244013,2125,115,243898,Eastern Mediterranean
Albania,23-01-2020,265398,1070,1245,264153,Europe
Algeria,23-01-2020,423874,2212,437,423437,Africa
Andorra,23-01-2020,311216,9,706,310510,Europe
Angola,23-01-2020,300728,2051,15,300713,Africa
Antigua and Barbuda,23-01-2020,250240,1637,1034,249206,Americas
Argentina,23-01-2020,381807,1918,609,381198,Americas
Armenia,23-01-2020,330050,1422,170,329880,Europe
Australia,23-01-2020,399198,1076,591,398607,Western Pacific
Australia,23-01-2020,406206,1400,219,405987,Western Pacific
Australia,23-01-2020,16557,1174,542,16015,Western Pacific
Australia,23-01-2020,191754,650,391,191363,Western Pacific
Australia,23-01-2020,87887,163,404,87483,Western Pacific
Australia,23-01-2020,392345,765,715,391630,Western Pacific
Australia,23-01-2020,295070,1770,1191,293879,Western Pacific
Australia,23-01-2020,170345,1084,331,170014,Western Pacific
Austria,23-01-2020,447164,1269,950,446214,Europe
Azerbaijan,23-01-2020,433673,93,930,432743,Europe
Bahamas,23-01-2020,23469,2261,623,22846,Americas
Bahrain,23-01-2020,393763,797,258,393505,Eastern Mediterranean
Bangladesh,23-01-2020,366266,1239,464,365802,South-East Asia
Barbados,23-01-2020,240905,1135,828,240077,Americas
Belarus,23-01-2020,445119,197,984,444135,Europe
Belgium,23-01-2020,365624,332,612,365012,Europe
Benin,23-01-2020,71903,707,767,71136,Africa
Bhutan,23-01-2020,274810,1787,632,274178,South-East Asia
Bolivia,23-01-2020,447623,147,921,446702,Americas
Bosnia and Herzegovina,23-01-2020,175175,267,381,174794,Europe
Brazil,23-01-2020,441049,532,606,440443,Americas
Brunei,23-01-2020,381251,1498,604,380647,Western Pacific
Bulgaria,23-01-2020,252001,1761,384,251617,Europe
Burkina Faso,23-01-2020,22322,1297,1158,21164,Africa
Cabo Verde,23-01-2020,239586,458,111,239475,Africa
Cambodia,23-01-2020,380748,658,702,380046,Western Pacific
Cameroon,23-01-2020,396342,2036,838,395504,Africa
Canada,23-01-2020,220105,1214,1231,218874,Americas
Canada,23-01-2020,22420,1417,276,22144,Americas
Canada,23-01-2020,91262,257,1217,90045,Americas
Canada,23-01-2020,449999,678,857,449142,Americas
Canada,23-01-2020,118503,1770,134,118369,Americas
Canada,23-01-2020,104610,2457,453,104157,Americas
Canada,23-01-2020,381660,30,183,381477,Americas
Canada,23-01-2020,296870,2151,93,296777,Americas
Canada,23-01-2020,110277,2335,353,109924,Americas
Canada,23-01-2020,13540,1973,767,12773,Americas
Central African Republic,23-01-2020,192707,753,42,192665,Africa
Chad,23-01-2020,198477,388,146,198331,Africa
Chile,23-01-2020,225140,152,370,224770,Americas
China,23-01-2020,296518,2188,426,296092,Western Pacific
China,23-01-2020,150868,1437,848,150020,Western Pacific
China,23-01-2020,36586,1227,686,35900,Western Pacific
China,23-01-2020,130418,497,14,130404,Western Pacific
China,23-01-2020,337340,313,1092,336248,Western Pacific
China,23-01-2020,408212,450,1113,407099,Western Pacific
China,23-01-2020,324297,439,680,323617,Western Pacific
China,23-01-2020,115752,2362,1084,114668,Western Pacific
China,23-01-2020,69793,553,1122,68671,Western Pacific
China,23-01-2020,37456,998,568,36888,Western Pacific
China,23-01-2020,339215,1906,883,338332,Western Pacific
China,23-01-2020,13281,1510,738,12543,Western Pacific
China,23-01-2020,143134,1588,992,142142,Western Pacific
China,23-01-2020,238850,989,55,238795,Western Pacific
China,23-01-2020,288900,1753,1108,287792,Western Pacific
China,23-01-2020,153066,798,572,152494,Western Pacific
China,23-01-2020,260724,2007,698,260026,Western Pacific
China,23-01-2020,214563,1015,858,213705,Western Pacific
China,23-01-2020,282888,777,438,282450,Western Pacific
China,23-01-2020,210985,1754,95,210890,Western Pacific
China,23-01-2020,135529,411,1036,134493,Western Pacific
China,23-01-2020,207697,681,1035,206662,Western Pacific
China,23-01-2020,395113,621,379,394734,Western Pacific
China,23-01-2020,134101,2186,1024,133077,Western Pacific
China,23-01-2020,131680,295,1219,130461,Western Pacific
China,23-01-2020,113129,631,292,112837,Western Pacific
China,23-01-2020,194985,587,819,194166,Western Pacific
China,23-01-2020,429800,2481,208,429592,Western Pacific
China,23-01-2020,98352,2180,1217,97135,Western Pacific
China,23-01-2020,356367,1495,114,356253,Western Pacific
China,23-01-2020,415171,2353,529,414642,Western Pacific
China,23-01-2020,42740,2213,273,42467,Western Pacific
China,23-01-2020,37932,1492,607,37325,Western Pacific
Colombia,23-01-2020,241664,338,914,240750,Americas
Congo (Brazzaville),23-01-2020,215822,2293,94,215728,Africa
Congo (Kinshasa),23-01-2020,55538,2490,883,54655,Africa
Costa Rica,23-01-2020,170117,314,993,169124,Americas
Cote d'Ivoire,23-01-2020,295426,1174,1203,294223,Africa
Croatia,23-01-2020,343952,1954,308,343644,Europe
Cuba,23-01-2020,153714,2278,1066,152648,Americas
Cyprus,23-01-2020,172469,1912,334,172135,Europe
Czechia,23-01-2020,115410,1593,1217,114193,Europe
Denmark,23-01-2020,374890,494,252,374638,Europe
Greenland,23-01-2020,320279,772,712,319567,Europe
Denmark,23-01-2020,138080,1263,100,137980,Europe
Djibouti,23-01-2020,22613,2235,819,21794,Eastern Mediterranean
Dominican Republic,23-01-2020,24845,956,590,24255,Americas
Ecuador,23-01-2020,347550,2136,872,346678,Americas
Egypt,23-01-2020,54838,2221,859,53979,Eastern Mediterranean
El Salvador,23-01-2020,131717,2035,688,131029,Americas
Equatorial Guinea,23-01-2020,193413,1043,645,192768,Africa
Eritrea,23-01-2020,284124,2476,72,284052,Africa
Estonia,23-01-2020,303329,976,571,302758,Europe
Eswatini,23-01-2020,18960,218,390,18570,Africa
Ethiopia,23-01-2020,97577,1846,652,96925,Africa
Fiji,23-01-2020,32406,1931,111,32295,Western Pacific
Finland,23-01-2020,127298,1673,354,126944,Europe
France,23-01-2020,84910,2482,245,84665,Europe
France,23-01-2020,377205,1572,782,376423,Europe
France,23-01-2020,364969,659,451,364518,Europe
France,23-01-2020,41965,1810,395,41570,Europe
France,23-01-2020,92646,1519,395,92251,Europe
France,23-01-2020,348696,1432,10,348686,Europe
France,23-01-2020,129469,738,661,128808,Europe
France,23-01-2020,249680,2365,827,248853,Europe
France,23-01-2020,304323,758,1121,303202,Europe
France,23-01-2020,162816,1806,203,162613,Europe
Gabon,23-01-2020,71204,248,71,71133,Africa
Gambia,23-01-2020,281718,1612,968,280750,Africa
Georgia,23-01-2020,227531,750,380,227151,Europe
Germany,23-01-2020,213854,1910,1212,212642,Europe
Ghana,23-01-2020,152339,681,600,151739,Africa
Greece,23-01-2020,179849,2275,854,178995,Europe
Guatemala,23-01-2020,335788,2354,527,335261,Americas
Guinea,23-01-2020,145294,375,1013,144281,Africa
Guyana,23-01-2020,18923,993,737,18186,Americas
Haiti,23-01-2020,378727,2226,822,377905,Americas
Holy See,23-01-2020,298780,26,638,298142,Europe
Honduras,23-01-2020,206957,2455,457,206500,Americas
Hungary,23-01-2020,91629,540,381,91248,Europe
Iceland,23-01-2020,239467,2260,65,239402,Europe
India,23-01-2020,337437,914,566,336871,South-East Asia
Indonesia,23-01-2020,253315,162,273,253042,South-East Asia
Iran,23-01-2020,268883,249,958,267925,Eastern Mediterranean
Iraq,23-01-2020,380256,2438,837,379419,Eastern Mediterranean
Ireland,23-01-2020,310457,364,291,310166,Europe
Israel,23-01-2020,47059,2402,181,46878,Europe
Italy,23-01-2020,322731,1347,200,322531,Europe
Jamaica,23-01-2020,78128,1963,1249,76879,Americas
Japan,23-01-2020,272402,248,516,271886,Western Pacific
Jordan,23-01-2020,283199,964,930,282269,Eastern Mediterranean
Kazakhstan,23-01-2020,45476,415,1002,44474,Europe
Kenya,23-01-2020,160030,1794,1110,158920,Africa
South Korea,23-01-2020,437409,941,936,436473,Western Pacific
Kuwait,23-01-2020,366364,1315,809,365555,Eastern Mediterranean
Kyrgyzstan,23-01-2020,330534,1007,852,329682,Europe
Latvia,23-01-2020,259508,2359,1072,258436,Europe
Lebanon,23-01-2020,389842,2355,376,389466,Eastern Mediterranean
Liberia,23-01-2020,363238,2180,1121,362117,Africa
Liechtenstein,23-01-2020,33776,2367,810,32966,Europe
Lithuania,23-01-2020,12801,1741,998,11803,Europe
Luxembourg,23-01-2020,226853,270,255,226598,Europe
Madagascar,23-01-2020,356880,1659,681,356199,Africa
Malaysia,23-01-2020,368864,412,280,368584,Western Pacific
Maldives,23-01-2020,132343,166,119,132224,South-East Asia
Malta,23-01-2020,331976,250,980,330996,Europe
Mauritania,23-01-2020,67456,2279,975,66481,Africa
Mauritius,23-01-2020,47113,371,285,46828,Africa
Mexico,23-01-2020,360633,461,932,359701,Americas
Moldova,23-01-2020,127752,2004,406,127346,Europe
Monaco,23-01-2020,44801,698,73,44728,Europe
Mongolia,23-01-2020,257722,1120,689,257033,Western Pacific
Montenegro,23-01-2020,413131,305,532,412599,Europe
Morocco,23-01-2020,125044,1020,526,124518,Eastern Mediterranean
Namibia,23-01-2020,409706,1089,149,409557,Africa
Nepal,23-01-2020,155629,1385,503,155126,South-East Asia
Netherlands,23-01-2020,334298,40,130,334168,Europe
Netherlands,23-01-2020,300853,800,496,300357,Europe
Netherlands,23-01-2020,418793,641,1098,417695,Europe
Netherlands,23-01-2020,288828,688,1193,287635,Europe
New Zealand,23-01-2020,177302,805,492,176810,Western Pacific
Nicaragua,23-01-2020,68828,1654,1168,67660,Americas
Niger,23-01-2020,295255,1325,177,295078,Africa
Nigeria,23-01-2020,104112,1152,1202,102910,Africa
North Macedonia,23-01-2020,113216,1850,56,113160,Europe
Norway,23-01-2020,201230,2316,1076,200154,Europe
Oman,23-01-2020,74198,1223,590,73608,Eastern Mediterranean
Pakistan,23-01-2020,172400,252,794,171606,Eastern Mediterranean
Panama,23-01-2020,146697,334,92,146605,Americas
Papua New Guinea,23-01-2020,345287,1728,632,344655,Western Pacific
Paraguay,23-01-2020,400225,308,902,399323,Americas
Peru,23-01-2020,421622,1820,118,421504,Americas
Philippines,23-01-2020,330255,781,1016,329239,Western Pacific
Poland,23-01-2020,390930,2101,608,390322,Europe
Portugal,23-01-2020,312604,374,739,311865,Europe
Qatar,23-01-2020,185372,1471,1083,184289,Eastern Mediterranean
Romania,23-01-2020,125352,299,1225,124127,Europe
Russia,23-01-2020,260724,1691,866,259858,Europe
Rwanda,23-01-2020,108861,1275,275,108586,Africa
Saint Lucia,23-01-2020,409347,927,845,408502,Americas
Saint Vincent and the Grenadines,23-01-2020,326225,2057,1201,325024,Americas
San Marino,23-01-2020,219857,2171,322,219535,Europe
Saudi Arabia,23-01-2020,177298,1425,1134,176164,Eastern Mediterranean
Senegal,23-01-2020,280261,2161,898,279363,Africa
Serbia,23-01-2020,129390,1710,295,129095,Europe
Seychelles,23-01-2020,223559,653,373,223186,Africa
Singapore,23-01-2020,384575,1594,969,383606,Western Pacific
Slovakia,23-01-2020,396119,1011,691,395428,Europe
Slovenia,23-01-2020,348784,842,804,347980,Europe
Somalia,23-01-2020,314949,583,1030,313919,Eastern Mediterranean
South Africa,23-01-2020,210876,2260,213,210663,Africa
Spain,23-01-2020,386626,257,463,386163,Europe
Sri Lanka,23-01-2020,223518,18,490,223028,South-East Asia
Sudan,23-01-2020,50032,1020,1213,48819,Eastern Mediterranean
Suriname,23-01-2020,255538,1779,34,255504,Americas
Sweden,23-01-2020,284362,702,972,283390,Europe
Switzerland,23-01-2020,424085,1971,100,423985,Europe
Taiwan*,23-01-2020,311120,2223,615,310505,Western Pacific
Tanzania,23-01-2020,244125,2452,1160,242965,Africa
Thailand,23-01-2020,174309,1199,350,173959,South-East Asia
Togo,23-01-2020,413688,245,742,412946,Africa
Trinidad and Tobago,23-01-2020,15129,283,914,14215,Americas
Tunisia,23-01-2020,276598,1263,308,276290,Eastern Mediterranean
Turkey,23-01-2020,9177,1540,551,8626,Europe
Uganda,23-01-2020,152896,2343,276,152620,Africa
Ukraine,23-01-2020,270576,1607,630,269946,Europe
United Arab Emirates,23-01-2020,286650,789,77,286573,Eastern Mediterranean
United Kingdom,23-01-2020,240643,39,1013,239630,Europe
United Kingdom,23-01-2020,253470,749,347,253123,Europe
United Kingdom,23-01-2020,278305,2400,374,277931,Europe
United Kingdom,23-01-2020,394277,2093,844,393433,Europe
United Kingdom,23-01-2020,361347,464,522,360825,Europe
United Kingdom,23-01-2020,87589,2083,788,86801,Europe
United Kingdom,23-01-2020,273089,2053,768,272321,Europe
Uruguay,23-01-2020,156079,2048,252,155827,Americas
US,23-01-2020,100663,97,919,99744,Americas
Uzbekistan,23-01-2020,189170,400,1051,188119,Europe
Venezuela,23-01-2020,54355,2468,1088,53267,Americas
Vietnam,23-01-2020,286852,547,41,286811,Western Pacific
Zambia,23-01-2020,77097,976,872,76225,Africa
Zimbabwe,23-01-2020,370432,1409,257,370175,Africa
Dominica,23-01-2020,68299,804,1084,67215,Americas
Grenada,23-01-2020,363646,445,1242,362404,Americas
Mozambique,23-01-2020,172682,369,990,171692,Africa
Syria,23-01-2020,307254,60,242,307012,Eastern Mediterranean
